Datetime,Temperature (Â°C),Weather,Humidity (%)
2025-03-25 18:00:00,12.71,overcast clouds,80
2025-03-25 21:00:00,11.69,overcast clouds,83
2025-03-26 00:00:00,10.22,overcast clouds,90
2025-03-26 03:00:00,9.85,overcast clouds,94
2025-03-26 06:00:00,9.37,overcast clouds,94
2025-03-26 09:00:00,11.45,broken clouds,74
2025-03-26 12:00:00,15.39,scattered clouds,52
2025-03-26 15:00:00,16.82,clear sky,45
2025-03-26 18:00:00,15.04,clear sky,57
2025-03-26 21:00:00,11.86,few clouds,77
2025-03-27 00:00:00,9.86,clear sky,83
2025-03-27 03:00:00,8.54,few clouds,87
2025-03-27 06:00:00,7.52,scattered clouds,86
2025-03-27 09:00:00,11.25,broken clouds,66
2025-03-27 12:00:00,15.62,broken clouds,51
2025-03-27 15:00:00,17.02,broken clouds,46
2025-03-27 18:00:00,14.37,overcast clouds,63
2025-03-27 21:00:00,11.43,overcast clouds,78
2025-03-28 00:00:00,10.17,overcast clouds,81
2025-03-28 03:00:00,10.56,light rain,88
2025-03-28 06:00:00,9.07,moderate rain,90
2025-03-28 09:00:00,10.33,light rain,65
2025-03-28 12:00:00,9.81,light rain,62
2025-03-28 15:00:00,11.43,light rain,41
2025-03-28 18:00:00,9.46,broken clouds,55
2025-03-28 21:00:00,7.63,clear sky,66
2025-03-29 00:00:00,6.02,clear sky,76
2025-03-29 03:00:00,5.05,clear sky,78
2025-03-29 06:00:00,4.29,clear sky,79
2025-03-29 09:00:00,7.77,clear sky,60
2025-03-29 12:00:00,11.43,few clouds,42
2025-03-29 15:00:00,12.84,few clouds,39
2025-03-29 18:00:00,11.4,scattered clouds,56
2025-03-29 21:00:00,9.34,overcast clouds,71
2025-03-30 00:00:00,9.34,overcast clouds,80
2025-03-30 03:00:00,9.73,overcast clouds,90
2025-03-30 06:00:00,10.06,overcast clouds,86
2025-03-30 09:00:00,11.39,broken clouds,63
2025-03-30 12:00:00,14.65,scattered clouds,44
2025-03-30 15:00:00,15.47,clear sky,44
